Date,Close
3/18/2019 16:00:00,71.31
3/19/2019 16:00:00,71.95
3/20/2019 16:00:00,71.68
3/21/2019 16:00:00,73.56
3/22/2019 16:00:00,68.76
3/25/2019 16:00:00,69.14
3/26/2019 16:00:00,68.86
3/27/2019 16:00:00,63
3/28/2019 16:00:00,63.76
3/29/2019 16:00:00,63.5
4/1/2019 16:00:00,59.87
4/2/2019 16:00:00,62.85
4/3/2019 16:00:00,61.95
4/4/2019 16:00:00,62.37
4/5/2019 16:00:00,63.32
4/8/2019 16:00:00,61.99
4/9/2019 16:00:00,64.15
4/10/2019 16:00:00,64.57
4/11/2019 16:00:00,64.5
4/12/2019 16:00:00,62.79
4/15/2019 16:00:00,61.62
4/16/2019 16:00:00,61.4
4/17/2019 16:00:00,55.31
4/18/2019 16:00:00,54.41
4/22/2019 16:00:00,56.76
4/23/2019 16:00:00,58.58
4/24/2019 16:00:00,59.85
4/25/2019 16:00:00,60.16
4/26/2019 16:00:00,63.49
4/29/2019 16:00:00,63.34
4/30/2019 16:00:00,61.41
5/1/2019 16:00:00,59.64
5/2/2019 16:00:00,62.76
5/3/2019 16:00:00,67.36
5/6/2019 16:00:00,67.39
5/7/2019 16:00:00,65.17
5/8/2019 16:00:00,64.98
5/9/2019 16:00:00,64.42
5/10/2019 16:00:00,64.62
5/13/2019 16:00:00,62.16
5/14/2019 16:00:00,65.9
5/15/2019 16:00:00,68.18
5/16/2019 16:00:00,69.93
5/17/2019 16:00:00,67.13
5/20/2019 16:00:00,66.35
5/21/2019 16:00:00,67.43
5/22/2019 16:00:00,66.97
5/23/2019 16:00:00,63.93
5/24/2019 16:00:00,65.36
5/28/2019 16:00:00,65.59
5/29/2019 16:00:00,65.4
5/30/2019 16:00:00,69.17
5/31/2019 16:00:00,68.56
6/3/2019 16:00:00,68.53
6/4/2019 16:00:00,71.12
6/5/2019 16:00:00,71
6/6/2019 16:00:00,70.45
6/7/2019 16:00:00,71.7
6/10/2019 16:00:00,66.92
6/11/2019 16:00:00,68.09
6/12/2019 16:00:00,70.07
6/13/2019 16:00:00,69.08
6/14/2019 16:00:00,63.58
6/17/2019 16:00:00,63.89
6/18/2019 16:00:00,64.66
6/19/2019 16:00:00,66.95
6/20/2019 16:00:00,67.64
6/21/2019 16:00:00,65.4
6/24/2019 16:00:00,64.04
6/25/2019 16:00:00,61.95
6/26/2019 16:00:00,60.5
6/27/2019 16:00:00,62.85
6/28/2019 16:00:00,64.52
7/1/2019 16:00:00,65.24
7/2/2019 16:00:00,63.49
7/3/2019 13:00:00,63.36
7/5/2019 16:00:00,64.82
7/8/2019 16:00:00,62.75
7/9/2019 16:00:00,64.41
7/10/2019 16:00:00,65.98
7/11/2019 16:00:00,67.11
7/12/2019 16:00:00,63.7
7/15/2019 16:00:00,64.41
7/16/2019 16:00:00,62.47
7/17/2019 16:00:00,62.84
7/18/2019 16:00:00,63.96
7/19/2019 16:00:00,64.62
7/22/2019 16:00:00,64.95
7/23/2019 16:00:00,63.4
7/24/2019 16:00:00,63.82
7/25/2019 16:00:00,60.92
7/26/2019 16:00:00,62.96
7/29/2019 16:00:00,62.29
7/30/2019 16:00:00,64.37
7/31/2019 16:00:00,63.43
8/1/2019 16:00:00,60.23
8/2/2019 16:00:00,65.26
8/5/2019 16:00:00,61.46
8/6/2019 16:00:00,62.49
8/7/2019 16:00:00,59.57
8/8/2019 16:00:00,63.5
8/9/2019 16:00:00,63.87
8/12/2019 16:00:00,61.91
8/13/2019 16:00:00,63.44
